file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/signUpConfig.spec.js,Conditional Test Logic,"{'line': 59, 'column': 2, 'index': 1733}","  57 | // Over-writes config for china server to make phone number mandatory
  58 | function updateConfigForChinaServer (expectedConfig) {
> 59 |   if (isChinaServer) {
     |  ^ Conditional Test Logic
  60 |     if (!expectedConfig.visible.includes('phoneNumber')) {
  61 |       expectedConfig.visible.push('phoneNumber')
  62 |     }"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/signUpConfig.spec.js,Conditional Test Logic,"{'line': 60, 'column': 4, 'index': 1758}","  58 | function updateConfigForChinaServer (expectedConfig) {
  59 |   if (isChinaServer) {
> 60 |     if (!expectedConfig.visible.includes('phoneNumber')) {
     |    ^ Conditional Test Logic
  61 |       expectedConfig.visible.push('phoneNumber')
  62 |     }
  63 |     expectedConfig.optional = expectedConfig.optional.filter(field => !['phoneNumber'].includes(field))"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/signUpConfig.spec.js,Conditional Test Logic,"{'line': 69, 'column': 4, 'index': 2064}","  67 | function checkFields (fields, expected) {
  68 |   Object.keys(fields).forEach((f) => {
> 69 |     if (expected.visible.includes(f)) {
     |    ^ Conditional Test Logic
  70 |       expect(fields[f].visible).toBe(true)
  71 |       if (expected.optional.includes(f)) {
  72 |         expect(fields[f].required).toBe(false)"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/signUpConfig.spec.js,Conditional Test Logic,"{'line': 71, 'column': 6, 'index': 2149}","  69 |     if (expected.visible.includes(f)) {
  70 |       expect(fields[f].visible).toBe(true)
> 71 |       if (expected.optional.includes(f)) {
     |      ^ Conditional Test Logic
  72 |         expect(fields[f].required).toBe(false)
  73 |       } else {
  74 |         expect(fields[f].required).toBe(true)"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/signUpConfig.spec.js,Unknown Test,"{'column': 4, 'line': 85}","  83 | describe('sign up config', () => {
  84 |   describe('getSchoolFormFieldsConfig returns the fields config for a given country and role', () => {
> 85 |     it('role = parent, any country', () => {
     |    ^ Unknown Test
  86 |       const fields = getSchoolFormFieldsConfig('test', EDUCATOR_ROLES.PARENT.value, isChinaServer)
  87 |       const expected = getExpectedConfigParents()
  88 |       checkFields(fields, expected)"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/signUpConfig.spec.js,Unknown Test,"{'column': 4, 'line': 91}","  89 |     })
  90 |
> 91 |     it('any educator role, any non-US country', () => {
     |    ^ Unknown Test
  92 |       const fields = getSchoolFormFieldsConfig('test', EDUCATOR_ROLES.TEACHER.value, isChinaServer)
  93 |       const expected = getExpectedConfigNonUSEducator()
  94 |       checkFields(fields, expected)"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/signUpConfig.spec.js,Unknown Test,"{'column': 4, 'line': 97}","   95 |     })
   96 |
>  97 |     it('role = teacher/principal, country = US', () => {
      |    ^ Unknown Test
   98 |       const fields1 = getSchoolFormFieldsConfig(COUNTRIES.US, EDUCATOR_ROLES.TEACHER.value, isChinaServer)
   99 |       const expected1 = getExpectedConfigUSTeacher()
  100 |       checkFields(fields1, expected1)"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/signUpConfig.spec.js,Unknown Test,"{'column': 4, 'line': 106}","  104 |     })
  105 |
> 106 |     it('role = tech coord/advisor, country = US', () => {
      |    ^ Unknown Test
  107 |       const fields1 = getSchoolFormFieldsConfig(COUNTRIES.US, EDUCATOR_ROLES.TECH_COORD.value, isChinaServer)
  108 |       const expected1 = getExpectedConfigUSTechCoord()
  109 |       checkFields(fields1, expected1)"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/signUpConfig.spec.js,Unknown Test,"{'column': 4, 'line': 115}","  113 |     })
  114 |
> 115 |     it('role = superintendent, country = US', () => {
      |    ^ Unknown Test
  116 |       const fields = getSchoolFormFieldsConfig(COUNTRIES.US, EDUCATOR_ROLES.SUPERIN.value, isChinaServer)
  117 |       const expected = getExpectedConfigUSSuperint()
  118 |       checkFields(fields, expected)"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/PageEducatorSignup.spec.js,Conditional Test Logic,"{'line': 38, 'column': 2, 'index': 1225}","  36 |   })
  37 |
> 38 |   if (!isChinaServer) {
     |  ^ Conditional Test Logic
  39 |     it('scrolls to the basic info form when sign-up is clicked', async (done) => {
  40 |       expect(pageEducatorSignupWrapper.contains(PageBasicInfo)).toBe(false)
  41 |       await pageEducatorSignupWrapper.find('.email-sign-up').find('a').trigger('click')"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/PageEducatorSignup.spec.js,Duplicate Assert,"{'line': 40, 'column': 6, 'index': 1336}","  38 |   if (!isChinaServer) {
  39 |     it('scrolls to the basic info form when sign-up is clicked', async (done) => {
> 40 |       expect(pageEducatorSignupWrapper.contains(PageBasicInfo)).toBe(false)
     |      ^ Duplicate Assert
  41 |       await pageEducatorSignupWrapper.find('.email-sign-up').find('a').trigger('click')
  42 |       expect(pageEducatorSignupWrapper.contains(PageBasicInfo)).toBe(true)
  43 |       pageEducatorSignupWrapper.destroy()"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/PageEducatorSignup.spec.js,Duplicate Assert,"{'line': 42, 'column': 6, 'index': 1500}","  40 |       expect(pageEducatorSignupWrapper.contains(PageBasicInfo)).toBe(false)
  41 |       await pageEducatorSignupWrapper.find('.email-sign-up').find('a').trigger('click')
> 42 |       expect(pageEducatorSignupWrapper.contains(PageBasicInfo)).toBe(true)
     |      ^ Duplicate Assert
  43 |       pageEducatorSignupWrapper.destroy()
  44 |       done()
  45 |     })"
