instance_id,smell_type,model,prompt,failure_type,suite_regression,before_suites_failed,before_tests_total,before_tests_passed,before_tests_failed,before_tests_skipped,before_tests_todo,after_suites_failed,after_tests_total,after_tests_passed,after_tests_failed,after_tests_skipped,after_tests_todo
2859,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,462,455,0,7,0,0,462,455,0,7,0
2860,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,462,455,0,7,0,0,462,455,0,7,0
2861,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,462,455,0,7,0,0,462,455,0,7,0
2862,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,suites_failed_increase,1,0,462,455,0,7,0,1,0,0,0,7,0
2863,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,462,455,0,7,0,0,462,455,0,7,0
2864,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,242,242,0,0,0,0,242,242,0,0,0
2865,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,159,157,2,0,0,1,159,157,2,0,0
2866,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,3010,3010,0,0,0,0,3010,3010,0,0,0
2867,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,3010,3010,0,0,0,0,3010,3010,0,0,0
2868,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,3010,3010,0,0,0,0,3010,3010,0,0,0
2869,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,3010,3010,0,0,0,0,3010,3010,0,0,0
2870,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,suites_failed_increase,1,0,3010,3010,0,0,0,1,3010,3009,1,0,0
2871,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,3010,3010,0,0,0,0,3010,3010,0,0,0
2872,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,562,562,0,0,0,0,562,562,0,0,0
2873,Duplicate Assert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,562,562,0,0,0,0,562,562,0,0,0
2874,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,60,60,0,0,0,0,60,60,0,0,0
2875,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,231,1,0,3
2876,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,231,1,0,3
2877,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,231,1,0,3
2878,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2879,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2880,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1196,1196,0,0,0
2881,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1196,1196,0,0,0
2882,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2883,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2884,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2885,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2886,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2887,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2888,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2889,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2890,Magic Number,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2891,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,60,60,0,0,0,0,60,60,0,0,0
2892,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,suites_failed_increase,1,0,525,517,0,8,0,1,0,0,0,8,0
2893,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2894,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1196,1196,0,0,0
2895,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1196,1196,0,0,0
2896,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1196,1196,0,0,0
2897,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1196,1196,0,0,0
2898,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1196,1196,0,0,0
2899,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,562,562,0,0,0,0,562,562,0,0,0
2900,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,3010,3010,0,0,0,0,3010,3010,0,0,0
2901,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,462,455,0,7,0,0,462,455,0,7,0
2902,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,47,47,0,0,0,0,47,47,0,0,0
2903,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,47,47,0,0,0,0,47,47,0,0,0
2904,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,47,47,0,0,0,0,47,47,0,0,0
2905,SubOptimalAssert,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,3010,3010,0,0,0,0,3010,3010,0,0,0
2906,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,230,2,0,3
2907,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,230,2,0,3
2908,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,231,1,0,3
2909,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,231,1,0,3
2910,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2911,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2912,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2913,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,suites_failed_increase,1,0,525,517,0,8,0,1,0,0,0,8,0
2914,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2915,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2916,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2917,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,562,562,0,0,0,0,562,562,0,0,0
2918,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2919,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,76,73,0,3,0,0,76,73,0,3,0
2920,OvercommentedTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2921,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2922,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2923,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1699,1699,0,0,0
2924,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2925,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2926,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,462,455,0,7,0,0,462,455,0,7,0
2927,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,462,455,0,7,0,0,462,455,0,7,0
2928,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,76,73,0,3,0,0,76,73,0,3,0
2929,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1698,1698,0,0,0
2930,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2931,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1197,1197,0,0,0
2932,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2933,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1196,1196,0,0,0
2934,AnonymousTest,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2935,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,231,1,0,3
2936,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,suites_failed_increase,1,0,254,243,0,11,0,1,0,0,0,11,0
2937,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,254,243,0,11,0,0,254,243,0,11,0
2938,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,150,149,0,1,0,0,150,149,0,1,0
2939,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,150,149,0,1,0,0,150,149,0,1,0
2940,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2941,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2942,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2943,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2944,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2945,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1196,1196,0,0,0
2946,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,suites_failed_increase,1,0,1196,1196,0,0,0,1,1196,1195,1,0,0
2947,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1196,1196,0,0,0
2948,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,562,562,0,0,0,0,562,562,0,0,0
2949,VerboseStatement,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,3010,3010,0,0,0,0,3010,3010,0,0,0
2950,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,231,1,0,3
2951,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,suites_failed_increase,1,1,235,231,1,0,3,2,235,230,2,0,3
2952,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,231,1,0,3
2953,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,231,1,0,3
2954,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,suites_failed_increase,1,1,235,231,1,0,3,2,235,229,3,0,3
2955,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2956,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2957,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2958,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2959,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2960,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2961,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,169,168,0,1,0,0,169,168,0,1,0
2962,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,3010,3010,0,0,0,0,3010,3010,0,0,0
2963,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,47,47,0,0,0,0,47,47,0,0,0
2964,Sleepy Test,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,47,47,0,0,0,0,47,47,0,0,0
2965,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2966,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2967,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2968,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2969,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2970,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2971,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
2972,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,suites_failed_increase,1,0,1694,1694,0,0,0,1,1694,1693,1,0,0
2973,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1695,1695,0,0,0
2974,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,481,478,0,3,0,0,481,478,0,3,0
2975,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,1,235,231,1,0,3,1,235,231,1,0,3
2976,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2977,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2978,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2979,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2980,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2981,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,525,517,0,8,0,0,525,517,0,8,0
2982,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,suites_failed_increase,1,0,525,517,0,8,0,1,0,0,0,8,0
2983,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,645,634,0,11,0,0,645,634,0,11,0
2984,ConditionalTestLogic,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1196,1196,0,0,0,0,1196,1196,0,0,0
2985,Exception Handling,Qwen 2.5 Coder 32B,Zero-Shot,suites_failed_increase,1,0,1367,1367,0,0,0,1,1367,1366,1,0,0
2986,Exception Handling,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1367,1367,0,0,0,0,1367,1367,0,0,0
2987,Exception Handling,Qwen 2.5 Coder 32B,Zero-Shot,none,0,0,1694,1694,0,0,0,0,1694,1694,0,0,0
