"file","type","smells","itCount","describeCount"
"test/utils.test.js","AnonymousTest","[{""startLine"":7,""endLine"":23}]",3,0
"test/utils.test.js","AnonymousTest","[{""startLine"":25,""endLine"":39}]",3,0
"test/utils.test.js","AnonymousTest","[{""startLine"":41,""endLine"":44}]",3,0
"test/utils.test.js","VerboseStatement","[{""startLine"":7,""endLine"":23}]",3,0
"test/timezone.test.js","AnonymousTest","[{""startLine"":28,""endLine"":30}]",6,0
"test/timezone.test.js","AnonymousTest","[{""startLine"":32,""endLine"":43}]",6,0
"test/query.test.js","AnonymousTest","[{""startLine"":26,""endLine"":33}]",3,1
"test/query.test.js","AnonymousTest","[{""startLine"":35,""endLine"":40}]",3,1
"test/parse.test.js","AnonymousTest","[{""startLine"":15,""endLine"":17}]",26,2
"test/parse.test.js","AnonymousTest","[{""startLine"":122,""endLine"":124}]",26,2
"test/parse.test.js","AnonymousTest","[{""startLine"":142,""endLine"":147}]",26,2
"test/parse.test.js","AnonymousTest","[{""startLine"":148,""endLine"":153}]",26,2
"test/parse.test.js","AnonymousTest","[{""startLine"":154,""endLine"":159}]",26,2
"test/parse.test.js","AnonymousTest","[{""startLine"":160,""endLine"":165}]",26,2
"test/parse.test.js","AnonymousTest","[{""startLine"":166,""endLine"":171}]",26,2
"test/parse.test.js","AnonymousTest","[{""startLine"":181,""endLine"":186}]",26,2
"test/parse.test.js","AnonymousTest","[{""startLine"":209,""endLine"":214}]",26,2
"test/parse.test.js","SensitiveEquality","[{""startLine"":138,""endLine"":138}]",26,2
"test/parse.test.js","SubOptimalAssert","[{""startLine"":130,""endLine"":130}]",26,2
"test/parse.test.js","SubOptimalAssert","[{""startLine"":177,""endLine"":177}]",26,2
"test/parse.test.js","SubOptimalAssert","[{""startLine"":192,""endLine"":192}]",26,2
"test/parse.test.js","SubOptimalAssert","[{""startLine"":199,""endLine"":199}]",26,2
"test/parse.test.js","SubOptimalAssert","[{""startLine"":205,""endLine"":205}]",26,2
"test/parse.test.js","SubOptimalAssert","[{""startLine"":213,""endLine"":213}]",26,2
"test/parse.test.js","VerboseStatement","[{""startLine"":19,""endLine"":43}]",26,2
"test/manipulate.test.js","VerboseStatement","[{""startLine"":45,""endLine"":65}]",6,1
"test/locale.test.js","AnonymousTest","[{""startLine"":87,""endLine"":92}]",13,1
"test/locale.test.js","AnonymousTest","[{""startLine"":94,""endLine"":99}]",13,1
"test/locale.test.js","AnonymousTest","[{""startLine"":101,""endLine"":104}]",13,1
"test/locale.test.js","AnonymousTest","[{""startLine"":106,""endLine"":113}]",13,1
"test/get-set.test.js","AnonymousTest","[{""startLine"":13,""endLine"":18}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":20,""endLine"":25}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":34,""endLine"":39}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":41,""endLine"":46}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":48,""endLine"":53}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":55,""endLine"":60}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":62,""endLine"":67}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":69,""endLine"":71}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":77,""endLine"":79}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":81,""endLine"":83}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":85,""endLine"":87}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":89,""endLine"":91}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":93,""endLine"":95}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":97,""endLine"":99}]",19,0
"test/get-set.test.js","AnonymousTest","[{""startLine"":122,""endLine"":129}]",19,0
"test/display.test.js","AnonymousTest","[{""startLine"":212,""endLine"":217}]",30,1
"test/display.test.js","AnonymousTest","[{""startLine"":237,""endLine"":240}]",30,1
"test/display.test.js","SensitiveEquality","[{""startLine"":20,""endLine"":20}]",30,1
"test/display.test.js","SensitiveEquality","[{""startLine"":21,""endLine"":21}]",30,1
"test/display.test.js","SensitiveEquality","[{""startLine"":250,""endLine"":250}]",30,1
"test/display.test.js","SubOptimalAssert","[{""startLine"":257,""endLine"":257}]",30,1
"test/display.test.js","VerboseStatement","[{""startLine"":53,""endLine"":73}]",30,1
"test/display.test.js","VerboseStatement","[{""startLine"":75,""endLine"":93}]",30,1
"test/constructor.test.js","AnonymousTest","[{""startLine"":16,""endLine"":21}]",3,0
"test/constructor.test.js","SubOptimalAssert","[{""startLine"":13,""endLine"":13}]",3,0
"test/comparison.test.js","IdenticalTestDescription","[{""startLine"":350,""endLine"":370}]",27,0
"test/comparison.test.js","VerboseStatement","[{""startLine"":12,""endLine"":33}]",27,0
"test/comparison.test.js","VerboseStatement","[{""startLine"":80,""endLine"":95}]",27,0
