file,type,line,frame
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Assertion Roulette,"{'column': 4, 'line': 128}","  126 |     const tgbot = new TelegramBot('token', { filepath: false });
  127 |     const [formData, fileId] = tgbot._formatSendData('file', paths.audio);
> 128 |     assert.ok(fileId);
      |    ^ Assertion Roulette
  129 |     assert.ok(!formData);
  130 |   });
  131 |"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Assertion Roulette,"{'column': 4, 'line': 129}","  127 |     const [formData, fileId] = tgbot._formatSendData('file', paths.audio);
  128 |     assert.ok(fileId);
> 129 |     assert.ok(!formData);
      |    ^ Assertion Roulette
  130 |   });
  131 |
  132 |   it('should allow stream.path that can not be parsed', function test() {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Conditional Test Logic,"{'line': 42, 'column': 8, 'index': 1307}","  40 |
  41 |       it('(2) Stream#path', function test() {
> 42 |         if (!stream.path) {
     |        ^ Conditional Test Logic
  43 |           this.skip('Stream#path unsupported');
  44 |           return;
  45 |         }"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Conditional Test Logic,"{'line': 56, 'column': 53, 'index': 1857}","  54 |
  55 |       it('(4) final default', function test() {
> 56 |         [nonPathStream, buffer, nonDetectableBuffer].forEach((file) => {
     |                                                     ^ Conditional Test Logic
  57 |           const [{ [type]: data }] = bot._formatSendData(type, file);
  58 |           assert.equal(data.options.filename, 'filename');
  59 |         });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Conditional Test Logic,"{'line': 73, 'column': 8, 'index': 2466}","  71 |
  72 |       it('(2) Stream#path', function test() {
> 73 |         if (!stream.path) {
     |        ^ Conditional Test Logic
  74 |           this.skip('Stream#path unsupported');
  75 |           return;
  76 |         }"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Conditional Test Logic,"{'line': 92, 'column': 45, 'index': 3187}","  90 |
  91 |       it('(5) fileOptions.filename', function test() {
> 92 |         [nonPathStream, nonDetectableBuffer].forEach((file) => {
     |                                             ^ Conditional Test Logic
  93 |           const [{ [type]: data }] = bot._formatSendData(type, file, {
  94 |             filename: 'image.gif',
  95 |           });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Conditional Test Logic,"{'line': 101, 'column': 45, 'index': 3506}","   99 |
  100 |       it('(6) Final default', function test() {
> 101 |         [nonPathStream, nonDetectableBuffer].forEach((file) => {
      |                                             ^ Conditional Test Logic
  102 |           const [{ [type]: data }] = bot._formatSendData(type, file);
  103 |           assert.equal(data.options.contentType, 'application/octet-stream');
  104 |         });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Conditional Test Logic,"{'line': 116, 'column': 6, 'index': 4016}","  114 |       // Older Node.js versions do not support passing a Buffer
  115 |       // representation of the path to fs.createReadStream()
> 116 |       if (ex instanceof TypeError) {
      |      ^ Conditional Test Logic
  117 |         Promise.resolve();
  118 |         return;
  119 |       }"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Exception Handling,"{'line': 111, 'column': 4, 'index': 3800}","  109 |   it('should handle buffer path from fs.readStream', function test() {
  110 |     let file;
> 111 |     try {
      |    ^ Exception Handling
  112 |       file = fs.createReadStream(Buffer.from(paths.audio));
  113 |     } catch (ex) {
  114 |       // Older Node.js versions do not support passing a Buffer"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Ignored Test,"{'line': 43, 'column': 15, 'index': 1342}","  41 |       it('(2) Stream#path', function test() {
  42 |         if (!stream.path) {
> 43 |           this.skip('Stream#path unsupported');
     |               ^ Ignored Test
