"file","type","smells","itCount","describeCount"
"__tests__/unit.js","AnonymousTest","[{""startLine"":225,""endLine"":247}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":299,""endLine"":312}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":314,""endLine"":326}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":328,""endLine"":345}]",17,2
"__tests__/integration.js","AnonymousTest","[{""startLine"":35,""endLine"":65}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":67,""endLine"":104}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":217,""endLine"":237}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":239,""endLine"":304}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":306,""endLine"":332}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":334,""endLine"":354}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":356,""endLine"":385}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":432,""endLine"":503}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":524,""endLine"":557}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":559,""endLine"":665}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":705,""endLine"":736}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":738,""endLine"":764}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":766,""endLine"":792}]",20,1
"__tests__/integration.js","OvercommentedTest","[{""startLine"":524,""endLine"":557}]",20,1
"__tests__/integration.js","ConditionalTestLogic","[{""startLine"":654,""endLine"":654}]",20,1
"__tests__/integration.js","ConditionalTestLogic","[{""startLine"":656,""endLine"":662}]",20,1
"__tests__/integration.js","ConditionalTestLogic","[{""startLine"":658,""endLine"":662}]",20,1
"__tests__/integration.js","SubOptimalAssert","[{""startLine"":546,""endLine"":546}]",20,1
"__tests__/integration.js","VerboseStatement","[{""startLine"":432,""endLine"":503}]",20,1
