file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 12, 'column': 4, 'index': 332}","  10 |     await persister.persist();
  11 |
> 12 |     expect(await validate.har(await persister.findRecording(recordingId))).to.be
     |    ^ Duplicate Assert
  13 |       .true;
  14 |
  15 |     await this.fetchRecord({"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 23, 'column': 4, 'index': 629}","  21 |     await persister.persist();
  22 |
> 23 |     expect(await validate.har(await persister.findRecording(recordingId))).to.be
     |    ^ Duplicate Assert
  24 |       .true;
  25 |   });
  26 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 63, 'column': 4, 'index': 1894}","  61 |     let har = await persister.findRecording(recordingId);
  62 |
> 63 |     expect(har.log.entries).to.have.lengthOf(1);
     |    ^ Duplicate Assert
  64 |
  65 |     await this.polly.stop();
  66 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 78, 'column': 4, 'index': 2305}","  76 |     har = await persister.findRecording(recordingId);
  77 |
> 78 |     expect(har.log.entries).to.have.lengthOf(3);
     |    ^ Duplicate Assert
  79 |     expect(
  80 |       har.log.entries.filter((e) => e.request.url.includes(orderedRecordUrl(1)))
  81 |     ).to.have.lengthOf(2);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 92, 'column': 6, 'index': 2815}","  90 |
  91 |     server.get(this.recordUrl()).on('beforePersist', (req /*, res*/) => {
> 92 |       expect(beforePersistCalled).to.be.false;
     |      ^ Duplicate Assert
  93 |       expect(() => (req.body = 'test')).to.throw(Error);
  94 |       beforePersistCalled = true;
  95 |     });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 100, 'column': 4, 'index': 3016}","   98 |
   99 |     await this.fetchRecord();
> 100 |     expect(beforePersistCalled).to.be.false;
      |    ^ Duplicate Assert
  101 |
  102 |     await persister.persist();
  103 |     expect(beforePersistCalled).to.be.true;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 103, 'column': 4, 'index': 3093}","  101 |
  102 |     await persister.persist();
> 103 |     expect(beforePersistCalled).to.be.true;
      |    ^ Duplicate Assert
  104 |   });
  105 |
  106 |   it('should respect recording name overrides', async function () {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 261, 'column': 4, 'index': 7870}","  259 |     let har = await this.polly.persister.findRecording(recordingId);
  260 |
> 261 |     expect(har).to.be.an('object');
      |    ^ Duplicate Assert
  262 |     expect(har.log.entries).to.have.lengthOf(2);
  263 |
  264 |     await this.polly.stop();"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 262, 'column': 4, 'index': 7906}","  260 |
  261 |     expect(har).to.be.an('object');
> 262 |     expect(har.log.entries).to.have.lengthOf(2);
      |    ^ Duplicate Assert
  263 |
  264 |     await this.polly.stop();
  265 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 280, 'column': 4, 'index': 8394}","  278 |     har = await this.polly.persister.findRecording(recordingId);
  279 |
> 280 |     expect(har).to.be.an('object');
      |    ^ Duplicate Assert
  281 |     expect(har.log.entries).to.have.lengthOf(2);
  282 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
  283 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(3));"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 281, 'column': 4, 'index': 8430}","  279 |
  280 |     expect(har).to.be.an('object');
> 281 |     expect(har.log.entries).to.have.lengthOf(2);
      |    ^ Duplicate Assert
  282 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
  283 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(3));
  284 |   });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 302, 'column': 4, 'index': 9142}","  300 |     let har = await this.polly.persister.findRecording(recordingId);
  301 |
> 302 |     expect(har).to.be.an('object');
      |    ^ Duplicate Assert
  303 |     expect(har.log.entries).to.have.lengthOf(2);
  304 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
  305 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(2));"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 303, 'column': 4, 'index': 9178}","  301 |
  302 |     expect(har).to.be.an('object');
> 303 |     expect(har.log.entries).to.have.lengthOf(2);
      |    ^ Duplicate Assert
  304 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
  305 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(2));
  306 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 304, 'column': 4, 'index': 9227}","  302 |     expect(har).to.be.an('object');
  303 |     expect(har.log.entries).to.have.lengthOf(2);
> 304 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
      |    ^ Duplicate Assert
  305 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(2));
  306 |
  307 |     await this.polly.stop();"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 305, 'column': 4, 'index': 9303}","  303 |     expect(har.log.entries).to.have.lengthOf(2);
  304 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
> 305 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(2));
      |    ^ Duplicate Assert
  306 |
  307 |     await this.polly.stop();
  308 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 319, 'column': 4, 'index': 9725}","  317 |     har = await this.polly.persister.findRecording(recordingId);
  318 |
> 319 |     expect(har).to.be.an('object');
      |    ^ Duplicate Assert
  320 |     expect(har.log.entries).to.have.lengthOf(4);
  321 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
  322 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(3));"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 320, 'column': 4, 'index': 9761}","  318 |
  319 |     expect(har).to.be.an('object');
> 320 |     expect(har.log.entries).to.have.lengthOf(4);
      |    ^ Duplicate Assert
  321 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
  322 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(3));
  323 |     expect(har.log.entries[2].request.url).to.include(orderedRecordUrl(4));"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 321, 'column': 4, 'index': 9810}","  319 |     expect(har).to.be.an('object');
  320 |     expect(har.log.entries).to.have.lengthOf(4);
> 321 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
      |    ^ Duplicate Assert
  322 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(3));
  323 |     expect(har.log.entries[2].request.url).to.include(orderedRecordUrl(4));
  324 |     expect(har.log.entries[3].request.url).to.include(orderedRecordUrl(2));"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 322, 'column': 4, 'index': 9886}","  320 |     expect(har.log.entries).to.have.lengthOf(4);
  321 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
> 322 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(3));
      |    ^ Duplicate Assert
  323 |     expect(har.log.entries[2].request.url).to.include(orderedRecordUrl(4));
  324 |     expect(har.log.entries[3].request.url).to.include(orderedRecordUrl(2));
  325 |   });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 344, 'column': 4, 'index': 10707}","  342 |     let har = await this.polly.persister.findRecording(recordingId);
  343 |
> 344 |     expect(har).to.be.an('object');
      |    ^ Duplicate Assert
  345 |     expect(har.log.entries).to.have.lengthOf(2);
  346 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
  347 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(2));"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/pollyjs/tests/integration/persister-tests.js,Duplicate Assert,"{'line': 345, 'column': 4, 'index': 10743}","  343 |
  344 |     expect(har).to.be.an('object');
> 345 |     expect(har.log.entries).to.have.lengthOf(2);
      |    ^ Duplicate Assert
  346 |     expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
  347 |     expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(2));
  348 |"
