file,type,line,method,methodStart,methodEnd,source
/__tests__/unit.js,AnonymousTest,"{'startLine':225,'endLine':247}","test('content-type application/json', () => {
    const binaryMimeTypes = []
    const multiValueHeaders = { 'content-type': ['application/json'] }
    const body = JSON.stringify({ hello: 'world' })
    const response = new ServerlessResponse(200, multiValueHeaders, body)
    return new Promise(
      (resolve, reject) => {
        const contextResolver = getContextResolver(resolve, reject)
        serverlessExpressTransport.forwardResponse({
          binaryMimeTypes,
          response,
          resolver: contextResolver,
          eventSource: apiGatewayEventSource,
          log
        })
      }
    ).then(successResponse => expect(successResponse).toEqual({
      statusCode: 200,
      body: body,
      multiValueHeaders,
      isBase64Encoded: false
    }))
  })",225,247,snuts
/__tests__/unit.js,AnonymousTest,"{'startLine':299,'endLine':312}","test('CONTEXT (specified)', () => {
    return new Promise(
      (resolve, reject) => {
        const context = new MockContext(resolve, reject)
        const contextResolver = makeResolver({
          context,
          resolutionMode: 'CONTEXT'
        })

        return contextResolver.succeed({
          response: 'success'
        })
      }).then(successResponse => expect(successResponse).toEqual('success'))
  })",299,312,snuts
/__tests__/unit.js,AnonymousTest,"{'startLine':314,'endLine':326}","test('CALLBACK', () => {
    const callback = (e, response) => response
    const callbackResolver = makeResolver({
      callback,
      resolutionMode: 'CALLBACK',
      context: {}
    })
    const successResponse = callbackResolver.succeed({
      response: 'success'
    })

    expect(successResponse).toEqual('success')
  })",314,326,snuts
/__tests__/unit.js,AnonymousTest,"{'startLine':328,'endLine':345}","test('PROMISE', () => {
    return new Promise((resolve, reject) => {
      const promise = {
        resolve,
        reject
      }
      const promiseResolver = makeResolver({
        promise,
        resolutionMode: 'PROMISE'
      })

      return promiseResolver.succeed({
        response: 'success'
      })
    }).then(successResponse => {
      expect(successResponse).toEqual('success')
    })
  })",328,345,snuts
/__tests__/integration.js,AnonymousTest,"{'startLine':35,'endLine':65}","test('GET HTML', async () => {
    app.set('view engine', 'ejs')
    app.engine('.ejs', ejs)
    app.set('views', path.join(jestHelpersPath, 'views'))
    router.get('/', (req, res) => {
      const { event } = serverlessExpress.getCurrentInvoke()
      const eventPath = event.path || event.rawPath || event.Records[0].cf.request.uri
      res.render('index', {
        path: eventPath
      })
    })
    const event = makeEvent({
      eventSourceName,
      path: '/',
      httpMethod: 'GET'
    })
    const response = await serverlessExpressInstance(event)
    const expected = '<!DOCTYPE html><html><body>/</body></html>'
    expect(response.body).toEqual(expected)
    const expectedResponse = makeResponse({
      eventSourceName,
      multiValueHeaders: {
        'content-length': ['42'],
        'content-type': ['text/html; charset=utf-8'],
        etag: ['W/""2a-wmySkjN5My1aqVauhBIBaC50kxs""']
      }
    })
    delete response.body
    delete expectedResponse.body
    expect(response).toEqual(expectedResponse)
  })",35,65,snuts
/__tests__/integration.js,AnonymousTest,"{'startLine':67,'endLine':104}","test('GET JSON', async () => {
    const multiValueQueryStringParameters = {
      singleNormal: ['1'],
      singleSpecial: ['hello world!'],
      arr: ['a', 'b', 'hello world~']
    }
    const queryStringParameters = {
      singleNormal: '1',
      singleSpecial: 'hello world!',
      arr: 'hello world~'
    }
    router.get('/users', (req, res) => {
      const { singleNormal, singleSpecial, arr } = req.query
      res.set('X-Custom-Header', singleNormal)
      res.json({ singleNormal, singleSpecial, arr })
    })
    const event = makeEvent({
      eventSourceName,
      path: '/users',
      httpMethod: 'GET',
      queryStringParameters,
      multiValueQueryStringParameters
    })
    const response = await serverlessExpressInstance(event)
    const expectedResponse = makeResponse({
      eventSourceName,
      body: JSON.stringify({
        ...queryStringParameters,
        arr: multiValueQueryStringParameters.arr
      }),
      multiValueHeaders: {
        'content-length': ['82'],
        etag: ['W/""52-QR4hWttXm/4xeZPYy7nze/EjYXg""'],
        'x-custom-header': ['1']
      }
    })
    expect(response).toEqual(expectedResponse)
  })",67,104,snuts
/__tests__/integration.js,AnonymousTest,"{'startLine':217,'endLine':237}","test('GET 404', async () => {
    router.get('/users/:userId', (req, res) => {
      res.status(404).json({ id: req.params.userId })
    })
    const event = makeEvent({
      eventSourceName,
      path: '/users/3',
      httpMethod: 'GET'
    })
    const response = await serverlessExpressInstance(event)
    const expectedResponse = makeResponse({
      eventSourceName,
      body: JSON.stringify({ id: '3' }),
      multiValueHeaders: {
        'content-length': ['10'],
        etag: ['W/""a-lfm5LdsGBlIttC0+rnSiywX9+Wc""']
      },
      statusCode: 404
    })
    expect(response).toEqual(expectedResponse)
  })",217,237,snuts
/__tests__/integration.js,AnonymousTest,"{'startLine':239,'endLine':304}","test('GET image', async () => {
    const samLogoPath = path.join(jestHelpersPath, 'sam-logo.png')
    router.get('/sam', (req, res) => {
      res.sendFile(samLogoPath)
    })
    const event = makeEvent({
      eventSourceName,
      path: '/sam',
      httpMethod: 'GET'
    })

    const response = await serverlessExpressInstance(event)

    const samLogoImage = fs.readFileSync(samLogoPath)
    const samLogoBase64 = Buffer.from(samLogoImage).toString('base64')
    const expectedResponse = makeResponse({
      eventSourceName,
      body: samLogoBase64,
      multiValueHeaders: {
        'accept-ranges': ['bytes'],
        'cache-control': ['public, max-age=0'],
        'content-length': ['15933'],
        'content-type': ['image/png']
      },
      isBase64Encoded: true
    }, { shouldConvertContentLengthToInt: true })
    const etagRegex = /^W\/.*$/
    const lastModifiedRegex = /^.* GMT$/
    switch (eventSourceName) {
      case 'alb':
      case 'apiGatewayV1':
        expect(response.multiValueHeaders.etag.length).toEqual(1)
        expect(response.multiValueHeaders.etag[0]).toMatch(etagRegex)
        expect(response.multiValueHeaders['last-modified'].length).toEqual(1)
        expect(response.multiValueHeaders['last-modified'][0]).toMatch(lastModifiedRegex)
        delete response.multiValueHeaders.etag
        delete response.multiValueHeaders['last-modified']
        break
      case 'azureHttpFunctionV4':
      case 'azureHttpFunctionV3':
        expectedResponse.body = Buffer.from(samLogoBase64, 'base64')
        expectedResponse.isBase64Encoded = false
        expect(response.headers.etag).toMatch(etagRegex)
        expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
        delete response.headers.etag
        delete response.headers['last-modified']
        break
      case 'apiGatewayV2':
        expect(response.headers.etag).toMatch(etagRegex)
        expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
        delete response.headers.etag
        delete response.headers['last-modified']
        break
      case 'lambdaEdge':
        expect(response.headers.etag.length).toEqual(1)
        expect(response.headers.etag[0].key).toMatch('etag')
        expect(response.headers.etag[0].value).toMatch(etagRegex)
        expect(response.headers['last-modified'].length).toEqual(1)
        expect(response.headers['last-modified'][0].key).toMatch('last-modified')
        expect(response.headers['last-modified'][0].value).toMatch(lastModifiedRegex)
        delete response.headers.etag
        delete response.headers['last-modified']
        break
    }
    expect(response).toEqual(expectedResponse)
  })",239,304,snuts
/__tests__/integration.js,AnonymousTest,"{'startLine':306,'endLine':332}","test('POST JSON', async () => {
    const name = 'Squidward'
    router.use(bodyParser.json())
    router.post('/users', (req, res) => {
      res.status(201).json({ data: { name: req.body.name } })
    })
    const event = makeEvent({
      eventSourceName,
      path: '/users',
      httpMethod: 'POST',
      body: `{""name"": ""${name}""}`,
      multiValueHeaders: {
        'content-type': ['application/json']
      }
    })
    const response = await serverlessExpressInstance(event)
    const expectedResponse = makeResponse({
      eventSourceName,
      body: JSON.stringify({ data: { name } }),
      multiValueHeaders: {
        'content-length': ['29'],
        etag: ['W/""1d-9ERga12t1e/5eBdg3k9zfIvAfWo""']
      },
      statusCode: 201
    })
    expect(response).toEqual(expectedResponse)
  })",306,332,snuts
/__tests__/integration.js,AnonymousTest,"{'startLine':334,'endLine':354}","test('DELETE JSON', async () => {
    router.delete('/users/:id', (req, res) => {
      res.json([])
    })
    const event = makeEvent({
      eventSourceName,
      path: '/users/1',
      httpMethod: 'DELETE'
    })
    const response = await serverlessExpressInstance(event)
    const expectedResponse = makeResponse({
      eventSourceName,
      body: '[]',
      multiValueHeaders: {
        'content-length': ['2'],
        etag: ['W/""2-l9Fw4VUO7kr8CvBlt4zaMCqXZ0w""']
      },
      statusCode: 200
    })
    expect(response).toEqual(expectedResponse)
  })",334,354,snuts
