file,type,line,method,source
/test/test.format-send-data.js,AnonymousTest,"{'startLine':33,'endLine':39}","it('(1) fileOptions.filename', function test() {
        const filename = 'custom-filename';
        files.forEach((file) => {
          const [{ [type]: data }] = bot._formatSendData(type, file, { filename });
          assert.equal(data.options.filename, filename);
        });
      })",snuts
/test/test.format-send-data.js,AnonymousTest,"{'startLine':41,'endLine':48}","it('(2) Stream#path', function test() {
        if (!stream.path) {
          this.skip('Stream#path unsupported');
          return;
        }
        const [{ [type]: data }] = bot._formatSendData(type, stream);
        assert.equal(data.options.filename, path.basename(paths.audio));
      })",snuts
/test/test.format-send-data.js,AnonymousTest,"{'startLine':50,'endLine':53}","it('(3) filepath', function test() {
        const [{ [type]: data }] = bot._formatSendData(type, filepath);
        assert.equal(data.options.filename, path.basename(paths.audio));
      })",snuts
/test/test.format-send-data.js,AnonymousTest,"{'startLine':64,'endLine':70}","it('(1) fileOpts.contentType', function test() {
        const contentType = 'application/custom-type';
        files.forEach((file) => {
          const [{ [type]: data }] = bot._formatSendData(type, file, { contentType });
          assert.equal(data.options.contentType, contentType);
        });
      })",snuts
/test/test.format-send-data.js,AnonymousTest,"{'startLine':72,'endLine':79}","it('(2) Stream#path', function test() {
        if (!stream.path) {
          this.skip('Stream#path unsupported');
          return;
        }
        const [{ [type]: data }] = bot._formatSendData(type, stream);
        assert.equal(data.options.contentType, 'audio/mpeg');
      })",snuts
/test/test.format-send-data.js,AnonymousTest,"{'startLine':86,'endLine':89}","it('(4) filepath', function test() {
        const [{ [type]: data }] = bot._formatSendData(type, filepath);
        assert.equal(data.options.contentType, 'audio/mpeg');
      })",snuts
/test/test.format-send-data.js,AnonymousTest,"{'startLine':91,'endLine':98}","it('(5) fileOptions.filename', function test() {
        [nonPathStream, nonDetectableBuffer].forEach((file) => {
          const [{ [type]: data }] = bot._formatSendData(type, file, {
            filename: 'image.gif',
          });
          assert.equal(data.options.contentType, 'image/gif');
        });
      })",snuts
/test/test.format-send-data.js,IdenticalTestDescription,"{'startLine':72,'endLine':79}","it('(2) Stream#path', function test() {
        if (!stream.path) {
          this.skip('Stream#path unsupported');
          return;
        }
        const [{ [type]: data }] = bot._formatSendData(type, stream);
        assert.equal(data.options.contentType, 'audio/mpeg');
      })",snuts
/test/test.format-send-data.js,ConditionalTestLogic,"{'startLine':42,'endLine':45}","it('(2) Stream#path', function test() {
        if (!stream.path) {
          this.skip('Stream#path unsupported');
          return;
        }
        const [{ [type]: data }] = bot._formatSendData(type, stream);
        assert.equal(data.options.filename, path.basename(paths.audio));
      })",snuts
/test/test.format-send-data.js,ConditionalTestLogic,"{'startLine':73,'endLine':76}","it('(2) Stream#path', function test() {
        if (!stream.path) {
          this.skip('Stream#path unsupported');
          return;
        }
        const [{ [type]: data }] = bot._formatSendData(type, stream);
        assert.equal(data.options.contentType, 'audio/mpeg');
      })",snuts
